Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-08-26 14:26:57.374 -0400,"Success",0:00:00,0,0,0,"20240826_142657.374/LogFile.txt","","",1
2024-08-26 14:29:28.394 -0400,"Success",0:00:00,0,0,0,"20240826_142928.394/LogFile.txt","","",1
2024-08-26 14:32:41.797 -0400,"Success",0:00:00,0,0,0,"20240826_143241.797/LogFile.txt","","",1
2024-08-26 14:35:02.822 -0400,"Success",0:00:00,0,0,0,"20240826_143502.822/LogFile.txt","","",1
2024-08-26 14:36:45.476 -0400,"Success",0:00:00,0,0,0,"20240826_143645.476/LogFile.txt","","",1
2024-08-26 14:53:40.571 -0400,"Success",0:00:00,0,0,0,"20240826_145340.571/LogFile.txt","","",1
2024-08-26 14:55:01.991 -0400,"Success",0:00:00,0,0,0,"20240826_145501.991/LogFile.txt","","",1
2024-08-26 14:55:11.874 -0400,"Success",0:00:00,0,0,0,"20240826_145511.874/LogFile.txt","","",1
2024-08-26 14:57:57.627 -0400,"Failure",0:00:00,1,0,0,"20240826_145757.627/LogFile.txt","","STDatabaseError -- Where clause specifies invalid column name 'class' (no such column)",0
2024-08-26 14:58:17.059 -0400,"Success",0:00:00,0,0,0,"20240826_145817.059/LogFile.txt","","",1
2024-08-26 15:01:18.707 -0400,"Success",0:00:00,0,0,0,"20240826_150118.707/LogFile.txt","","",1
2024-08-26 15:01:36.286 -0400,"Success",0:00:00,0,0,0,"20240826_150136.286/LogFile.txt","","",1
2024-08-26 15:02:39.188 -0400,"Success",0:00:00,0,0,0,"20240826_150239.188/LogFile.txt","","",1
2024-08-26 15:15:27.900 -0400,"Success",0:00:00,0,0,0,"20240826_151527.900/LogFile.txt","","",1
2024-08-26 15:16:31.912 -0400,"Aborted",0:00:14,1,0,0,"20240826_151631.912/LogFile.txt","","",0
2024-08-26 15:16:56.130 -0400,"Aborted",0:00:22,1,0,0,"20240826_151656.130/LogFile.txt","","",0
2024-08-26 15:17:46.501 -0400,"Success",0:00:11,0,0,0,"20240826_151746.501/LogFile.txt","","",1
2024-08-26 15:21:11.259 -0400,"Success",0:00:00,0,0,0,"20240826_152111.259/LogFile.txt","","",1
2024-08-26 15:21:45.027 -0400,"Success",0:00:00,0,0,0,"20240826_152145.027/LogFile.txt","","",1
2024-08-26 15:28:32.049 -0400,"Failure",0:00:00,1,0,0,"20240826_152832.049/LogFile.txt","","AssertionFailed --  (assertion: myCurrentRecord = ""Tom Santa""; actually: {_pk_:1001, @""completed?"":""Y"", @""course date"":""2022-11-05 08:00:00 -0400"", @""course name"":""Lay Servant Ministries"", instructor:""Tom Santa"", requirement:""Basic Course"", status:2} IS NOT equal to Tom Santa)",2
2024-08-26 15:29:02.807 -0400,"Success",0:00:00,0,0,0,"20240826_152902.807/LogFile.txt","","",4
2024-08-26 15:33:12.976 -0400,"Failure",0:00:00,1,0,0,"20240826_153312.976/LogFile.txt","","Script Error -- Number of Errors logged: 1",4
2024-08-26 15:34:07.337 -0400,"Failure",0:00:00,1,0,0,"20240826_153407.337/LogFile.txt","","Script Error -- Number of Errors logged: 1",4
2024-08-26 15:52:25.363 -0400,"Aborted",0:00:14,1,0,0,"20240826_155225.363/LogFile.txt","","",4
